word,surprise,anger,sadness,happy,fear
ability ,0.047831636,0.023596939,0.013392858,0.015943877,0.04017858
able ,1.82E-04,1.76E-04,2.19E-04,2.44E-04,1.86E-04
abuse ,1.77E-04,0.13736264,0.001240695,0.001595179,0.002658632
academy ,0.021428574,0.007142858,0.007142858,0.092857145,0.035714287
accept ,0.006766918,0.048872184,0.018796993,0.024812032,0.038345866
acceptance ,0.008241759,0.013736265,0.024725277,0.024812032,0.013736265
accounting ,0.017857144,0.017857144,0.053571433,0.08928572,0.017857144
accuracy ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
achieve ,0.004147466,0.005069125,0.006912442,0.12211982,0.005069125
acid ,0.017857144,0.017857144,0.125,0.017857144,0.017857144
active ,0.035714287,0.026190478,0.05,0.026190478,0.011904763
activities ,3.46E-05,4.72E-05,5.98E-05,2.20E-05,1.57E-05
adding ,0.0487013,0.022727275,0.016233768,0.02922078,0.035714287
addresses ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
administrator ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
adobe ,0.035714287,0.035714287,0.107142866,0.035714287,0.035714287
adult ,0.05075188,0.028195491,0.020676693,0.013157894,0.035714287
adults ,0.042857148,0.033333335,0.014285715,0.023809526,0.033333335
advanced ,3.45E-06,3.45E-06,1.73E-05,1.04E-05,1.04E-05
advantage ,0.02813853,0.015151517,0.032467537,0.015151517,0.036796536
adventure ,0.022796353,0.013677813,0.06838906,0.016717326,0.025835866
advertisement ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
affairs ,0.012605043,0.004201681,0.012605043,0.03781513,0.021008406
age ,1.71E-04,9.54E-05,7.76E-05,5.99E-05,1.13E-04
agree ,0.043154765,0.03125,0.016369049,0.02529762,0.02529762
agreed ,0.017857144,0.048469387,0.012755103,0.022959184,0.033163264
ahead ,0.01940994,0.0318323,0.01940994,0.014751554,0.058229815
aids ,0.023809526,0.023809526,0.11904762,0.023809526,0.023809526
aim ,0.08928572,0.017857144,0.017857144,0.053571433,0.017857144
alabama ,0.035714287,0.035714287,0.035714287,0.107142866,0.035714287
alaska ,0.071428575,0.014285715,0.042857148,0.014285715,0.042857148
alert ,0.008503402,0.005102041,0.00170068,0.011904763,0.120748304
allow ,0.00931677,0.025879918,0.025879918,0.03830228,0.046583854
amateur ,0.053571433,0.053571433,0.017857144,0.017857144,0.053571433
amazing ,0.13505618,6.10E-04,6.74E-04,0.005296951,0.001316212
amendment ,0.017857144,0.017857144,0.053571433,0.053571433,0.053571433
americans ,0.029761905,0.029761905,0.017857144,0.017857144,0.029761905
amounts ,0.005952382,0.005952382,0.077380955,0.017857144,0.041666668
anal ,0.035714287,0.107142866,0.035714287,0.035714287,0.035714287
analysis ,1.06E-05,3.54E-06,3.54E-06,3.54E-06,3.54E-06
andrew ,0.083333336,0.011904763,0.011904763,0.011904763,0.05952381
anime ,0.083333336,0.035714287,0.011904763,0.035714287,0.011904763
ann ,0.083333336,0.011904763,0.011904763,0.035714287,0.035714287
